"FAC","Hospital_Name","URL","Name","Title","Source"
"947","TORONTO UNIVERSITY HEALTH NETWORK","https://www.uhn.ca/corporate/AboutUHN/Governance_Leadership/Pages/Our_Leaders.aspx","Marc Toppings","Vice President & Chief Legal Officer","manual_entry_required"
"947","TORONTO UNIVERSITY HEALTH NETWORK","https://www.uhn.ca/corporate/AboutUHN/Governance_Leadership/Pages/Our_Leaders.aspx","Jake Tran","Vice President, Clinical","manual_entry_required"
"947","TORONTO UNIVERSITY HEALTH NETWORK","https://www.uhn.ca/corporate/AboutUHN/Governance_Leadership/Pages/Our_Leaders.aspx","Aristotle Voineskos","Vice President, UHN-CAMH Partnership","manual_entry_required"
"947","TORONTO UNIVERSITY HEALTH NETWORK","https://www.uhn.ca/corporate/AboutUHN/Governance_Leadership/Pages/Our_Leaders.aspx","Bo Wang","Chief Artificial Intelligence Scientist","manual_entry_required"
"947","TORONTO UNIVERSITY HEALTH NETWORK","https://www.uhn.ca/corporate/AboutUHN/Governance_Leadership/Pages/Our_Leaders.aspx","Brad Wouters","Executive Vice President, Science & Research","manual_entry_required"
"947","TORONTO UNIVERSITY HEALTH NETWORK","https://www.uhn.ca/corporate/AboutUHN/Governance_Leadership/Pages/Our_Leaders.aspx","Miyo Yamashita","President & CEO, The Princess Margaret Cancer Foundation","manual_entry_required"
"850","TORONTO RUNNYMEDE HC","https://runnymedehc.ca/runnymede-difference/about-runnymede/governance/","Connie Dejak","President and Chief Executive Officer","manual_entry_required"
"850","TORONTO RUNNYMEDE HC","https://runnymedehc.ca/runnymede-difference/about-runnymede/governance/","Karimah Alidina","Chief Nursing Executive","manual_entry_required"
"850","TORONTO RUNNYMEDE HC","https://runnymedehc.ca/runnymede-difference/about-runnymede/governance/","Ivo Chopnikolov","Chief Financial Officer","manual_entry_required"
"927","Windsor Hotel Dieu Grace","https://www.hdgh.org/leadership","Bill Marra","President and CEO","manual_entry_required"
"927","Windsor Hotel Dieu Grace","https://www.hdgh.org/leadership","Andrea Steen","Chief of Staff","manual_entry_required"
"927","Windsor Hotel Dieu Grace","https://www.hdgh.org/leadership","Sherri Laframboise","Chief Financial Officer","manual_entry_required"
"927","Windsor Hotel Dieu Grace","https://www.hdgh.org/leadership","Sheri McGeen","Chief Human Resources","manual_entry_required"
"927","Windsor Hotel Dieu Grace","https://www.hdgh.org/leadership","Tammy Kotyk","VP Of Mental Healht and Addictions","manual_entry_required"
"927","Windsor Hotel Dieu Grace","https://www.hdgh.org/leadership","Shannon Landry","VP of Restorative Care and Chief Nursing Officer","manual_entry_required"
